Year;Country;City;Circuit Name;Driver;PowerRanking Score;PowerRanking Position
2022;United Arab Emirates;Abu Dhabi;Yas Marina Circuit;Max Verstappen;9.6;1
2022;United Arab Emirates;Abu Dhabi;Yas Marina Circuit;Charles Lecrerc;9;2
2022;United Arab Emirates;Abu Dhabi;Yas Marina Circuit;Lando Norris;8.8;3
2022;United Arab Emirates;Abu Dhabi;Yas Marina Circuit;Sebastian Vettel;8.6;4
2022;United Arab Emirates;Abu Dhabi;Yas Marina Circuit;Esteban Ocon;8.4;5
2022;United Arab Emirates;Abu Dhabi;Yas Marina Circuit;George Russell;7.6;6
2022;United Arab Emirates;Abu Dhabi;Yas Marina Circuit;Daniel Ricciardo;7.4;7
2022;United Arab Emirates;Abu Dhabi;Yas Marina Circuit;Sergio Perez;7.2;8
2022;United Arab Emirates;Abu Dhabi;Yas Marina Circuit;Lance Stroll;7.2;9
2022;United Arab Emirates;Abu Dhabi;Yas Marina Circuit;Fernando Alonso;7;10
2023;United Arab Emirates;Abu Dhabi;Yas Marina Circuit;Max Verstappen;9.2;1
2023;United Arab Emirates;Abu Dhabi;Yas Marina Circuit;Charles Leclerc;8.8;2
2023;United Arab Emirates;Abu Dhabi;Yas Marina Circuit;Yuki Tsunoda;8.6;3
2023;United Arab Emirates;Abu Dhabi;Yas Marina Circuit;George Russell;8.4;4
2023;United Arab Emirates;Abu Dhabi;Yas Marina Circuit;Fernando Alonso;7.6;5
2023;United Arab Emirates;Abu Dhabi;Yas Marina Circuit;Lando Norris;7.4;6
2023;United Arab Emirates;Abu Dhabi;Yas Marina Circuit;Sergio Perez;7.2;7
2023;United Arab Emirates;Abu Dhabi;Yas Marina Circuit;Oscar Piastri;7;8
2023;United Arab Emirates;Abu Dhabi;Yas Marina Circuit;Alex Albon;6.6;9
2023;United Arab Emirates;Abu Dhabi;Yas Marina Circuit;Pierre Gasly;6.4;10
2022;United States;Austin;Circuit of the Americas;Sebastian Vettel;9.2;1
2022;United States;Austin;Circuit of the Americas;Lewis Hamilton;9.2;2
2022;United States;Austin;Circuit of the Americas;Max Verstappen;8.8;3
2022;United States;Austin;Circuit of the Americas;Charles Lecrerc;8.6;4
2022;United States;Austin;Circuit of the Americas;Lando Norris;8.4;5
2022;United States;Austin;Circuit of the Americas;Fernando Alonso;8.4;6
2022;United States;Austin;Circuit of the Americas;Kevin Magnussen;7.8;7
2022;United States;Austin;Circuit of the Americas;Alex Albon;7.6;8
2022;United States;Austin;Circuit of the Americas;Sergio Perez;7.4;9
2022;United States;Austin;Circuit of the Americas;Carlos Sainz;7;10
2023;United States;Austin;Circuit of The Americas;Lewis Hamilton;9.6;1
2023;United States;Austin;Circuit of The Americas;Max Verstappen;9.4;2
2023;United States;Austin;Circuit of The Americas;Lando Norris;8.6;3
2023;United States;Austin;Circuit of The Americas;Yuki Tsunoda;8.4;4
2023;United States;Austin;Circuit of The Americas;Pierre Gasly;8;5
2023;United States;Austin;Circuit of The Americas;Charles Leclerc;7.6;6
2023;United States;Austin;Circuit of The Americas;Alex Albon;7.4;7
2023;United States;Austin;Circuit of The Americas;Carlos Sainz;7.2;8
2023;United States;Austin;Circuit of The Americas;Lance Stroll;7.2;9
2023;United States;Austin;Circuit of The Americas;Fernando Alonso;7;10
2022;Azerbaijan;Baku;Baku City Circuit;Pierre Gasly;9;1
2022;Azerbaijan;Baku;Baku City Circuit;Max Verstappen;8.8;2
2022;Azerbaijan;Baku;Baku City Circuit;Charles Lecrerc;8.6;3
2022;Azerbaijan;Baku;Baku City Circuit;George Russell;8.6;4
2022;Azerbaijan;Baku;Baku City Circuit;Lewis Hamilton;8.2;5
2022;Azerbaijan;Baku;Baku City Circuit;Yuki Tsunoda;8;6
2022;Azerbaijan;Baku;Baku City Circuit;Sebastian Vettel;8;7
2022;Azerbaijan;Baku;Baku City Circuit;Sergio Perez;7.8;8
2022;Azerbaijan;Baku;Baku City Circuit;Fernando Alonso;7.8;9
2022;Azerbaijan;Baku;Baku City Circuit;Zhou Guanyu;7.6;10
2023;Azerbaijan;Baku;Baku City Circuit;Sergio Perez;9.6;1
2023;Azerbaijan;Baku;Baku City Circuit;Charles Leclerc;9.4;2
2023;Azerbaijan;Baku;Baku City Circuit;Fernando Alonso;9.2;3
2023;Azerbaijan;Baku;Baku City Circuit;Lewis Hamilton;8.4;4
2023;Azerbaijan;Baku;Baku City Circuit;Yuki Tsunoda;8;5
2023;Azerbaijan;Baku;Baku City Circuit;Max Verstappen;7.8;6
2023;Azerbaijan;Baku;Baku City Circuit;Lando Norris;7.6;7
2023;Azerbaijan;Baku;Baku City Circuit;Alex Albon;7.2;8
2023;Azerbaijan;Baku;Baku City Circuit;George Russell;7.2;9
2023;Azerbaijan;Baku;Baku City Circuit;Lance Stroll;7;10
2022;Spain;Barcelona;Circuit de Barcelona-Catalunya;George Russell;9.4;1
2022;Spain;Barcelona;Circuit de Barcelona-Catalunya;Charles Lecrerc;9.2;2
2022;Spain;Barcelona;Circuit de Barcelona-Catalunya;Lewis Hamilton;8.8;3
2022;Spain;Barcelona;Circuit de Barcelona-Catalunya;Max Verstappen;8.6;4
2022;Spain;Barcelona;Circuit de Barcelona-Catalunya;Sergio Perez;8.4;5
2022;Spain;Barcelona;Circuit de Barcelona-Catalunya;Lando Norris;8.4;6
2022;Spain;Barcelona;Circuit de Barcelona-Catalunya;Esteban Ocon;8.4;7
2022;Spain;Barcelona;Circuit de Barcelona-Catalunya;Valtteri Bottas;8.2;8
2022;Spain;Barcelona;Circuit de Barcelona-Catalunya;Fernando Alonso;7.6;9
2022;Spain;Barcelona;Circuit de Barcelona-Catalunya;Yuki Tsunoda;7.4;10
2023;Spain;Barcelona;Circuit de Barcelona-Catalunya;Max Verstappen;9.6;1
2023;Spain;Barcelona;Circuit de Barcelona-Catalunya;Lewis Hamilton;9.2;2
2023;Spain;Barcelona;Circuit de Barcelona-Catalunya;Zhou Guanyu;8.4;3
2023;Spain;Barcelona;Circuit de Barcelona-Catalunya;Esteban Ocon;7.6;4
2023;Spain;Barcelona;Circuit de Barcelona-Catalunya;Esteban Ocon;7.6;5
2023;Spain;Barcelona;Circuit de Barcelona-Catalunya;Yuki Tsunoda;7.4;6
2023;Spain;Barcelona;Circuit de Barcelona-Catalunya;Lance Stroll;7.4;7
2023;Spain;Barcelona;Circuit de Barcelona-Catalunya;Carlos Sainz;7.2;8
2023;Spain;Barcelona;Circuit de Barcelona-Catalunya;Sergio Perez;6.6;9
2023;Spain;Barcelona;Circuit de Barcelona-Catalunya;Pierre Gasly;6.4;10
2022;Hungary;Budapest;Hungaroring;Max Verstappen;9;1
2022;Hungary;Budapest;Hungaroring;Lewis Hamilton;9;2
2022;Hungary;Budapest;Hungaroring;George Russell;8.8;3
2022;Hungary;Budapest;Hungaroring;Lando Norris;8.4;4
2022;Hungary;Budapest;Hungaroring;Fernando Alonso;7.8;5
2022;Hungary;Budapest;Hungaroring;Carlos Sainz;7.4;6
2022;Hungary;Budapest;Hungaroring;Charles Lecrerc;7.2;7
2022;Hungary;Budapest;Hungaroring;Esteban Ocon;7;8
2022;Hungary;Budapest;Hungaroring;Sebastian Vettel;7;9
2022;Hungary;Budapest;Hungaroring;Pierre Gasly;6.8;10
2023;Hungary;Budapest;Hungaroring;Max Verstappen;9.6;1
2023;Hungary;Budapest;Hungaroring;Lando Norris;9.4;2
2023;Hungary;Budapest;Hungaroring;Oscar Piastri;8.2;3
2023;Hungary;Budapest;Hungaroring;Lewis Hamilton;8;4
2023;Hungary;Budapest;Hungaroring;Alex Albon;8;5
2023;Hungary;Budapest;Hungaroring;George Russell;7.8;6
2023;Hungary;Budapest;Hungaroring;Daniel Ricciardo;7.6;7
2023;Hungary;Budapest;Hungaroring;Fernando Alonso;7.2;8
2023;Hungary;Budapest;Hungaroring;Charles Leclerc;7;9
2023;Hungary;Budapest;Hungaroring;Daniel Ricciardo;6.8;10
2022;Italy;Imola;Autodromo Enzo e Dino Ferrari;Max Verstappen;10;1
2022;Italy;Imola;Autodromo Enzo e Dino Ferrari;Lando Norris;9.4;2
2022;Italy;Imola;Autodromo Enzo e Dino Ferrari;George Russell;8.6;3
2022;Italy;Imola;Autodromo Enzo e Dino Ferrari;Valtteri Bottas;8.6;4
2022;Italy;Imola;Autodromo Enzo e Dino Ferrari;Sergio Perez;8.4;5
2022;Italy;Imola;Autodromo Enzo e Dino Ferrari;Yuki Tsunoda;8.4;6
2022;Italy;Imola;Autodromo Enzo e Dino Ferrari;Alex Albon;8.2;7
2022;Italy;Imola;Autodromo Enzo e Dino Ferrari;Kevin Magnussen;8;8
2022;Italy;Imola;Autodromo Enzo e Dino Ferrari;Sebastian Vettel;7.8;9
2022;Italy;Imola;Autodromo Enzo e Dino Ferrari;Lance Stroll;6.8;10
2022;Saudi Arabia;Jeddah;Jeddah Corniche Circuit;Charles Lecrerc;9;1
